fold,model,group,rules,include_overtime,feature,gain
1,lightgbm,D,v2,False,weekday_4,51000825.56958008
1,lightgbm,D,v2,False,weekday_5,0.0
1,lightgbm,D,v2,False,weekday_6,0.0
1,lightgbm,D,v2,False,menu_meat,631102.3515625
1,lightgbm,D,v2,False,menu_fish,649692.4392089844
1,lightgbm,D,v2,False,menu_noodles,99612.19079589844
1,lightgbm,D,v2,False,menu_special,0.0
1,lightgbm,D,v2,False,menu_rice_bowl,274788.69970703125
1,lightgbm,D,v2,False,menu_soup,0.0
1,lightgbm,D,v2,False,temp_mean,5268588.359741211
1,lightgbm,D,v2,False,temp_max,7445721.628051758
1,lightgbm,D,v2,False,temp_min,10991418.315551758
1,lightgbm,D,v2,False,humidity,6169571.452392578
1,xgboost,A,v2,False,employees,0.09116276353597641
1,xgboost,A,v2,False,vacation,0.3968772888183594
1,xgboost,A,v2,False,business_trip,0.511959969997406
1,xgboost,A,v2,False,work_from_home,0.0
1,xgboost,B,v2,False,employees,0.004681138321757317
1,xgboost,B,v2,False,vacation,0.018049728125333786
1,xgboost,B,v2,False,business_trip,0.009660156443715096
1,xgboost,B,v2,False,work_from_home,0.0
1,xgboost,B,v2,False,weekday_0,0.4470512270927429
1,xgboost,B,v2,False,weekday_1,0.007841595448553562
1,xgboost,B,v2,False,weekday_2,0.003560402197763324
1,xgboost,B,v2,False,weekday_3,0.023917634040117264
1,xgboost,B,v2,False,weekday_4,0.48523813486099243
1,xgboost,B,v2,False,weekday_5,0.0
1,xgboost,B,v2,False,weekday_6,0.0
1,xgboost,C,v1,False,employees,0.00502908555790782
1,xgboost,C,v1,False,vacation,0.019367730244994164
1,xgboost,C,v1,False,business_trip,0.00975416786968708
1,xgboost,C,v1,False,work_from_home,0.0
1,xgboost,C,v1,False,weekday_0,0.44619274139404297
1,xgboost,C,v1,False,weekday_1,0.00432251300662756
1,xgboost,C,v1,False,weekday_2,0.003437133738771081
1,xgboost,C,v1,False,weekday_3,0.03448321670293808
1,xgboost,C,v1,False,weekday_4,0.4672505259513855
1,xgboost,C,v1,False,weekday_5,0.0
