fold,model,group,rules,include_overtime,feature,mae_increase_mean,mae_increase_std,repeats
3,xgboost,D,v2,False,temp_mean,0.2822222222222166,0.8417676873735304,3
3,xgboost,D,v2,False,temp_max,2.197777777777773,1.3355684968868338,3
3,xgboost,D,v2,False,temp_min,-1.1733333333333416,0.2174600857373331,3
3,xgboost,D,v2,False,humidity,-1.5200000000000056,1.4566425118770225,3
4,lightgbm,D,v2,False,employees,-1.4537634408602191,0.26319277324527973,3
4,lightgbm,D,v2,False,vacation,35.159139784946234,0.7650052123419853,3
4,lightgbm,D,v2,False,business_trip,65.7268817204301,5.926014731288185,3
4,lightgbm,D,v2,False,work_from_home,0.14193548387095709,0.01824791693384319,3
4,lightgbm,D,v2,False,weekday_0,46.959139784946224,2.150941897486718,3
4,lightgbm,D,v2,False,weekday_1,0.02365591397848732,0.04541658512245821,3
4,lightgbm,D,v2,False,weekday_2,-0.05806451612903629,0.03289690008769612,3
4,lightgbm,D,v2,False,weekday_3,0.47096774193547236,0.339103713452507,3
4,lightgbm,D,v2,False,weekday_4,13.868817204301072,2.136931149326951,3
4,lightgbm,D,v2,False,weekday_5,0.0,0.0,3
4,lightgbm,D,v2,False,weekday_6,0.0,0.0,3
4,lightgbm,D,v2,False,menu_meat,1.3204301075268792,0.508036922502653,3
4,lightgbm,D,v2,False,menu_fish,-0.11182795698925456,0.4778937873231613,3
4,lightgbm,D,v2,False,menu_noodles,-0.010752688172047442,0.018499624230193936,3
4,lightgbm,D,v2,False,menu_special,0.0,0.0,3
4,lightgbm,D,v2,False,menu_rice_bowl,-0.12903225806452193,0.1277354185369224,3
4,lightgbm,D,v2,False,menu_soup,0.0,0.0,3
4,lightgbm,D,v2,False,temp_mean,-6.075268817204308,0.7086470199705689,3
4,lightgbm,D,v2,False,temp_max,-3.3483870967741987,0.8131250764007087,3
4,lightgbm,D,v2,False,temp_min,-4.634408602150543,0.6518860990873901,3
4,lightgbm,D,v2,False,humidity,5.165591397849458,0.29921081691849655,3
4,xgboost,D,v2,False,employees,-1.3161290322580612,0.2569330032482583,3
4,xgboost,D,v2,False,vacation,29.88387096774194,0.21455856965569203,3
4,xgboost,D,v2,False,business_trip,65.33763440860214,3.995090060906112,3
4,xgboost,D,v2,False,work_from_home,0.5870967741935497,0.07374807827734388,3
4,xgboost,D,v2,False,weekday_0,45.19999999999999,1.9279854749648226,3
4,xgboost,D,v2,False,weekday_1,0.31182795698925264,0.039886531163423396,3
4,xgboost,D,v2,False,weekday_2,-0.06021505376344294,0.003041319488971632,3
4,xgboost,D,v2,False,weekday_3,0.1161290322580631,0.3492621428070837,3
4,xgboost,D,v2,False,weekday_4,10.255913978494624,2.5578852983815077,3
4,xgboost,D,v2,False,weekday_5,0.0,0.0,3
4,xgboost,D,v2,False,weekday_6,0.0,0.0,3
4,xgboost,D,v2,False,menu_meat,0.0795698924731217,0.38242098368685257,3
4,xgboost,D,v2,False,menu_fish,-0.2946236559139758,0.3850963844857151,3
4,xgboost,D,v2,False,menu_noodles,-0.22150537634408352,0.1027317927956655,3
4,xgboost,D,v2,False,menu_special,0.8301075268817234,0.2856412704219216,3
4,xgboost,D,v2,False,menu_rice_bowl,-0.11827956989246975,0.09219763918377102,3
4,xgboost,D,v2,False,menu_soup,0.0,0.0,3
4,xgboost,D,v2,False,temp_mean,-6.967741935483867,1.181696458903507,3
4,xgboost,D,v2,False,temp_max,-3.8903225806451616,1.0994401501554498,3
4,xgboost,D,v2,False,temp_min,-1.6021505376344056,0.6943073283526459,3
4,xgboost,D,v2,False,humidity,0.1397849462365599,0.9394330189215834,3
